assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
16,91,0,0,0,22,14211,12928,0
1,93,0,0,0,22,15783,15278,0
7,50,4,1,9,2,12702,9152,0
7,103,3,1,4,2,8317,6723,0
13,3,2,2,11,2,10155,9728,1
16,75,3,1,5,2,11092,10011,1
8,110,3,3,10,2,8613,7786,0
28,5,9,3,63,2,24108,22522,1
9,30,7,3,12,2,12008,12892,0
7,64,3,1,8,2,13997,9594,0
15,27,5,1,14,2,14122,11248,1
13,26,7,3,5,2,11557,9715,0
17,30,6,1,5,2,15323,12198,1
14,52,3,2,25,2,15514,12942,1
26,66,4,2,48,2,17174,11835,1
13,27,5,2,6,2,16597,15303,1
7,66,3,2,38,2,3506,5716,0
21,66,2,2,43,2,10030,8284,1
11,119,1,3,3,2,9986,6011,0
17,62,6,1,0,2,11043,11213,1
15,30,5,3,6,2,11764,9370,1
4,30,3,3,2,2,6770,6000,0
25,62,3,2,0,2,12203,11679,1
18,87,9,2,6,2,12520,10786,1
4,30,0,0,0,2,4763,5456,1
7,84,1,2,2,2,4998,4742,0
8,30,2,2,0,2,5329,4693,0
13,30,6,3,3,2,17496,16134,0
9,87,1,2,3,2,5338,4677,0
14,3,6,2,5,2,14424,9658,0
3,45,5,1,8,22,10842,8896,0
18,21,7,1,31,22,19830,14270,1
13,103,2,2,8,3,12798,10349,0
18,31,2,3,11,2,17772,12619,1
15,121,1,1,6,2,13081,11821,1
15,31,1,1,14,2,14370,10334,0
20,103,3,1,4,2,19121,12510,1
16,103,6,3,5,2,14593,11149,1
12,85,0,1,12,2,12317,10103,0
9,110,1,1,19,2,12866,11604,0
1,3,0,3,0,2,2683,2904,0
2,26,0,1,2,2,3509,3779,0
15,30,2,3,6,2,16158,13073,1
12,111,7,1,2,2,17240,13991,1
12,64,2,1,7,2,12928,8248,0
5,86,1,1,5,2,8665,7535,0
18,31,2,3,11,2,17772,12619,1
15,121,1,1,6,2,13081,11821,1
20,103,3,1,4,2,19121,12510,1
15,31,1,1,14,2,14370,10334,0
16,103,6,3,5,2,14593,11149,1
12,85,0,1,12,2,12317,10103,0
9,110,1,1,19,2,12866,11604,0
1,3,0,3,0,2,2683,2904,0
2,26,0,1,2,2,3509,3779,0
15,30,2,3,6,2,16158,13073,1
12,111,7,1,2,2,17240,13991,1
5,86,1,1,5,2,8665,7535,0
12,64,2,1,7,2,12928,8248,0
16,93,0,0,0,22,26295,21053,0
11,107,2,2,5,2,11150,9751,0
2,60,4,2,10,2,6410,7215,0
8,107,0,0,0,22,7937,8431,0
7,91,0,0,0,22,9420,8814,0
4,14,0,0,0,22,6812,6248,0
20,21,0,0,0,22,31567,24755,0
7,70,0,0,0,22,12342,10084,0
11,106,0,0,0,22,15196,16674,1
7,57,0,0,0,22,17143,13667,0
14,21,0,0,0,22,32377,29385,0
13,86,0,0,0,22,19422,14871,1
25,97,0,0,0,22,26318,19817,1
17,68,0,0,0,22,18253,17214,1
16,11,0,0,0,22,34263,31749,1
7,11,0,0,0,22,32459,27379,0
6,97,0,0,0,22,15641,11894,0
8,17,0,0,0,22,15030,14394,0
5,76,0,0,0,22,32382,34914,1
8,105,0,0,0,22,32744,27433,0
14,53,0,0,0,22,29461,24702,1
19,95,0,0,0,22,26556,25835,1
11,17,0,0,0,22,26431,23401,1
16,99,0,0,0,1,32430,27819,1
18,31,2,3,11,2,17772,12619,1
15,121,1,1,6,2,13081,11821,1
12,85,0,1,12,2,12317,10103,0
9,110,1,1,19,2,12866,11604,0
1,3,0,3,0,2,2683,2904,0
2,26,0,1,2,2,3509,3779,0
18,110,10,3,15,22,10996,10478,1
18,37,3,1,1,22,16611,9845,1
9,74,0,2,6,22,7235,6262,1
15,30,2,3,6,2,16158,13073,1
12,111,7,1,2,2,17240,13991,1
17,52,1,3,6,3,15488,12747,1
15,66,0,0,0,3,10566,10633,1
